x-axis,1,2,3,4
-47.4020E-06,-2.8044531250E+00,-2.6406250000E+00,-2.6558515624E+00,+9.7851562500E+00
-47.2020E-06,-2.8104882813E+00,-2.6676953125E+00,-2.6656367186E+00,+9.7851562500E+00
-47.0020E-06,-2.8298828125E+00,-2.6834375000E+00,-2.6870039061E+00,+9.7948242188E+00
-46.8020E-06,-2.8358789063E+00,-2.6913281250E+00,-2.7007539061E+00,+9.7949218750E+00
-46.6020E-06,-2.8610742188E+00,-2.6914062500E+00,-2.7086249999E+00,+9.7852539063E+00
-46.4020E-06,-2.8787304688E+00,-2.7262109375E+00,-2.7319062499E+00,+9.7851562500E+00
-46.2020E-06,-2.8885742188E+00,-2.7304296875E+00,-2.7437421874E+00,+9.7948242188E+00
-46.0020E-06,-2.9002734375E+00,-2.7498046875E+00,-2.7535273436E+00,+9.7852539063E+00
-45.8020E-06,-2.9235937500E+00,-2.7770703125E+00,-2.7729609374E+00,+9.7851562500E+00
-45.6020E-06,-2.9315625000E+00,-2.7773437500E+00,-2.7789570311E+00,+9.7851562500E+00
-45.4020E-06,-2.9432421875E+00,-2.8044140625E+00,-2.8041523436E+00,+9.7851562500E+00
-45.2020E-06,-2.9568945313E+00,-2.8124218750E+00,-2.8102070311E+00,+9.7948242188E+00
-45.0020E-06,-2.9666992188E+00,-2.8202343750E+00,-2.8179999999E+00,+9.7949218750E+00
-44.8020E-06,-2.9783984375E+00,-2.8241796875E+00,-2.8354804686E+00,+9.7852539063E+00
-44.6020E-06,-2.9901171875E+00,-2.8435546875E+00,-2.8511249999E+00,+9.7851562500E+00
-44.4020E-06,-3.0057031250E+00,-2.8476171875E+00,-2.8551484374E+00,+9.7948242188E+00
-44.2020E-06,-3.0097265625E+00,-2.8747265625E+00,-2.8687226561E+00,+9.7949218750E+00
-44.0020E-06,-3.0233007813E+00,-2.8633984375E+00,-2.8746601561E+00,+9.7852539063E+00
-43.8020E-06,-3.0331054688E+00,-2.8903515625E+00,-2.8901874999E+00,+9.7851562500E+00
-43.6020E-06,-3.0428710938E+00,-2.8944921875E+00,-2.9019453124E+00,+9.7851562500E+00
-43.4020E-06,-3.0565039063E+00,-2.9100000000E+00,-2.9117304686E+00,+9.7851562500E+00
-43.2020E-06,-3.0682421875E+00,-2.9217578125E+00,-2.9195624999E+00,+9.7658203125E+00
-43.0020E-06,-3.0702929688E+00,-2.9296093750E+00,-2.9293085936E+00,+9.7946289063E+00
-42.8020E-06,-3.0761132813E+00,-2.9374218750E+00,-2.9410078124E+00,+9.7852539063E+00
-42.6020E-06,-3.0993750000E+00,-2.9491015625E+00,-2.9430585936E+00,+9.7851562500E+00
-42.4020E-06,-3.0957421875E+00,-2.9530859375E+00,-2.9566132811E+00,+9.7851562500E+00
-42.2020E-06,-3.1111718750E+00,-2.9608593750E+00,-2.9586835936E+00,+9.7851562500E+00
-42.0020E-06,-3.1151953125E+00,-2.9532031250E+00,-2.9664374999E+00,+9.7851562500E+00
-41.8020E-06,-3.1210351563E+00,-2.9685937500E+00,-2.9761835936E+00,+9.7851562500E+00
-41.6020E-06,-3.1288281250E+00,-2.9803515625E+00,-2.9801484374E+00,+9.7851562500E+00
-41.4020E-06,-3.1327734375E+00,-2.9766015625E+00,-2.9879218749E+00,+9.7948242188E+00
-41.2020E-06,-3.1386132813E+00,-2.9804296875E+00,-2.9957343749E+00,+9.7852539063E+00
-41.0020E-06,-3.1444726563E+00,-2.9920703125E+00,-2.9996796874E+00,+9.7948242188E+00
-40.8020E-06,-3.1580664063E+00,-2.9921875000E+00,-3.0016523436E+00,+9.7949218750E+00
