x-axis,1,2,3,4
-61.6000E-06,-960.1562507E-03,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-61.4000E-06,-1.0148437507E+00,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-61.2000E-06,-1.0656250007E+00,+2.3671875000E+00,+2.5273437500E+00,+97.6562500E-03
-61.0000E-06,-1.1046875007E+00,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-60.8000E-06,-1.1554687507E+00,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-60.6000E-06,-1.2101562507E+00,+2.3632812500E+00,+2.5312500000E+00,+107.4218750E-03
-60.4000E-06,-1.2726562507E+00,+2.3632812500E+00,+2.5312500000E+00,+107.4218750E-03
-60.2000E-06,-1.3312500007E+00,+2.3632812500E+00,+2.5312500000E+00,+107.4218750E-03
-60.0000E-06,-1.3898437507E+00,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-59.8000E-06,-1.4562500007E+00,+2.3671875000E+00,+2.5351562500E+00,+87.8906250E-03
-59.6000E-06,-1.5148437507E+00,+2.3671875000E+00,+2.5351562500E+00,+107.4218750E-03
-59.4000E-06,-1.5695312507E+00,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-59.2000E-06,-1.6242187507E+00,+2.3632812500E+00,+2.5273437500E+00,+97.6562500E-03
-59.0000E-06,-1.6710937507E+00,+2.3671875000E+00,+2.5312500000E+00,+87.8906250E-03
-58.8000E-06,-1.7101562507E+00,+2.3593750000E+00,+2.5312500000E+00,+107.4218750E-03
-58.6000E-06,-1.7570312507E+00,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-58.4000E-06,-1.8078125007E+00,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-58.2000E-06,-1.8585937507E+00,+2.3632812500E+00,+2.5312500000E+00,+87.8906250E-03
-58.0000E-06,-1.9054687507E+00,+2.3671875000E+00,+2.5273437500E+00,+87.8906250E-03
-57.8000E-06,-1.9601562507E+00,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-57.6000E-06,-2.0148437507E+00,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-57.4000E-06,-2.0500000007E+00,+2.3671875000E+00,+2.5312500000E+00,+87.8906250E-03
-57.2000E-06,-2.0929687507E+00,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-57.0000E-06,-2.1320312507E+00,+2.3593750000E+00,+2.5312500000E+00,+87.8906250E-03
-56.8000E-06,-2.1750000007E+00,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-56.6000E-06,-2.2218750007E+00,+2.3671875000E+00,+2.5312500000E+00,+87.8906250E-03
-56.4000E-06,-2.2609375007E+00,+2.3671875000E+00,+2.5351562500E+00,+87.8906250E-03
-56.2000E-06,-2.3000000007E+00,+2.3632812500E+00,+2.5351562500E+00,+97.6562500E-03
-56.0000E-06,-2.3390625007E+00,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-55.8000E-06,-2.3820312507E+00,+2.3593750000E+00,+2.5312500000E+00,+107.4218750E-03
-55.6000E-06,-2.4406250007E+00,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-55.4000E-06,-2.4953125007E+00,+2.3593750000E+00,+2.5351562500E+00,+97.6562500E-03
-55.2000E-06,-2.5695312507E+00,+2.3632812500E+00,+2.5351562500E+00,+97.6562500E-03
-55.0000E-06,-2.6281250007E+00,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
-54.8000E-06,-2.6671875007E+00,+2.3632812500E+00,+2.5312500000E+00,+87.8906250E-03
-54.6000E-06,-2.7023437507E+00,+2.3632812500E+00,+2.5312500000E+00,+87.8906250E-03
-54.4000E-06,-2.7453125007E+00,+2.3671875000E+00,+2.5312500000E+00,+97.6562500E-03
-54.2000E-06,-2.7804687507E+00,+2.3671875000E+00,+2.5273437500E+00,+87.8906250E-03
-54.0000E-06,-2.8234375007E+00,+2.3632812500E+00,+2.5312500000E+00,+87.8906250E-03
-53.8000E-06,-2.8625000007E+00,+2.3671875000E+00,+2.5351562500E+00,+97.6562500E-03
-53.6000E-06,-2.8976562507E+00,+2.3593750000E+00,+2.5312500000E+00,+87.8906250E-03
-53.4000E-06,-2.9367187507E+00,+2.3671875000E+00,+2.5273437500E+00,+97.6562500E-03
-53.2000E-06,-2.9796875007E+00,+2.3593750000E+00,+2.5312500000E+00,+97.6562500E-03
-53.0000E-06,-3.0226562507E+00,+2.3632812500E+00,+2.5351562500E+00,+97.6562500E-03
-52.8000E-06,-3.0695312507E+00,+2.3632812500E+00,+2.5312500000E+00,+87.8906250E-03
-52.6000E-06,-3.1046875007E+00,+2.3632812500E+00,+2.5312500000E+00,+87.8906250E-03
-52.4000E-06,-3.1437500007E+00,+2.3593750000E+00,+2.5312500000E+00,+87.8906250E-03
-52.2000E-06,-3.1906250007E+00,+2.3593750000E+00,+2.5312500000E+00,+97.6562500E-03
-52.0000E-06,-3.2453125007E+00,+2.3632812500E+00,+2.5312500000E+00,+97.6562500E-03
