time	V(cap)	V(logic)	V(signal_in)	V(signal_out)
3.602928802922120e-005	4.807694e+000	0.000000e+000	4.764349e+000	4.807566e+000
3.621030614649059e-005	4.807624e+000	0.000000e+000	4.749841e+000	4.807434e+000
3.641093893462611e-005	4.807515e+000	0.000000e+000	4.733231e+000	4.807305e+000
3.661382623705184e-005	4.807396e+000	0.000000e+000	4.715915e+000	4.807180e+000
3.682468200450311e-005	4.807269e+000	0.000000e+000	4.697345e+000	4.807046e+000
3.705905700450311e-005	4.807121e+000	0.000000e+000	4.676044e+000	4.806890e+000
3.729343200450310e-005	4.806967e+000	0.000000e+000	4.654061e+000	4.806729e+000
3.752780700450310e-005	4.806808e+000	0.000000e+000	4.631383e+000	4.806562e+000
3.776218200450310e-005	4.806642e+000	0.000000e+000	4.608013e+000	4.806389e+000
3.799655700450310e-005	4.806469e+000	0.000000e+000	4.583955e+000	4.806209e+000
3.823093200450309e-005	4.806291e+000	0.000000e+000	4.559212e+000	4.806023e+000
3.869968200450309e-005	4.805914e+000	0.000000e+000	4.507687e+000	4.805630e+000
3.916843200450308e-005	4.805511e+000	0.000000e+000	4.453468e+000	4.805210e+000
3.987155700450307e-005	4.804853e+000	0.000000e+000	4.367160e+000	4.804527e+000
4.057468200450307e-005	4.804130e+000	0.000000e+000	4.274981e+000	4.803776e+000
4.167959271878877e-005	4.802883e+000	0.000000e+000	4.116993e+000	4.802484e+000
4.278450343307447e-005	4.801419e+000	0.000000e+000	3.946870e+000	4.800970e+000
4.388941414736017e-005	4.799737e+000	0.000000e+000	3.764612e+000	4.799235e+000
4.499432486164587e-005	4.797836e+000	0.000000e+000	3.570219e+000	4.797279e+000
4.609923557593157e-005	4.795718e+000	0.000000e+000	3.363692e+000	4.795101e+000
4.720414629021728e-005	4.793381e+000	0.000000e+000	3.145030e+000	4.792702e+000
4.830905700450297e-005	4.790826e+000	0.000000e+000	2.914233e+000	4.790082e+000
4.976562500000001e-005	4.787023e+000	0.000000e+000	2.597610e+000	4.786188e+000
4.986626399099411e-005	4.786743e+000	0.000000e+000	2.575161e+000	4.785902e+000
4.986627599099414e-005	4.786743e+000	0.000000e+000	2.575158e+000	4.785902e+000
4.988135329525187e-005	4.786701e+000	0.000000e+000	2.571787e+000	4.785859e+000
4.989643059950961e-005	4.786658e+000	0.000000e+000	2.568415e+000	4.785816e+000
4.991150790376733e-005	4.786616e+000	0.000000e+000	2.565041e+000	4.785772e+000
4.992658520802507e-005	4.786574e+000	0.000000e+000	2.561665e+000	4.785729e+000
4.994166251228280e-005	4.786531e+000	0.000000e+000	2.558288e+000	4.785686e+000
4.995673981654053e-005	4.786489e+000	0.000000e+000	2.554910e+000	4.785643e+000
